Source Name,Source Details,Website,Emissions Tracked,Geographic Coverage,Dataset Size,Data Availability,Licensing,
CDP GHG Emissions Dataset,Comprehensive corporate emissions database with quality reviewed and modeled data,cdp.net,Scope 1-3,Global,>18,000 companies[5],Paid subscription,
Net Zero Data Public Utility (NZDPU),Centralized repository of company GHG emissions integrated with UNFCCC,nzdpu.com,Scope 1,Global,973.79 MtCO2e disclosed[4],Free,,
Morningstar Sustainalytics Carbon Emissions Data,Corporate emissions data with estimation models,sustainalytics.com,Scope 1-3,Global,16,000+ companies[2],Paid subscription,
S&P Global Corporate Emissions Solution,Standardized emissions data across energy value chain and industrial sectors,spglobal.com,Scope 1-3,Global,Not specified[3],Paid subscription,,
Anthesis RouteZero,GHG inventory management solution based on 4,000+ GHG footprints,anthesisgroup.com,Scope 1-3,Global,4,000+ footprints[1],Paid service
Oxari,Machine learning-based ESG data and scoring platform,oxari.com,Scope 1-3,Global,50,000+ companies[1],Paid subscription,
GIST Impact,Sustainability and big data analytics platform focusing on economic impact,gistimpact.com,Scope 1-3,Global,Not specified[1],Paid subscription,,
ISS ESG,Environmental and governance solutions from Institutional Shareholder Services,issgovernance.com,Scope 1-3,Global,Not specified[1],Paid subscription,,
Sustainable Platform,SDG-focused portfolio assessment platform with daily updates,sustainableplatform.com,Scope 1-3,Global,30,000+ companies[1],Paid subscription,
Floodlight,ESG data provider with materiality scoring,floodlightinvest.com,Scope 1-3,Global,Not specified[1],Paid subscription,,
Nordic Bond Data,Fixed income focused ESG data provider specializing in Nordic markets,nordicbonddata.com,Scope 1-3,Nordic Region,Not specified[1],Paid subscription,,
Climate TRACE,Remote sensing and AI-based emissions tracking platform,climatetrace.org,Scope 1-2,Global,Not specified[1],Free,,
Impact-Cubed,Corporate damage quantification platform,impact-cubed.com,Scope 1-3,Global,4,500 companies[1],Paid subscription,
Datacie,AI-powered ESG data extraction service,datacie.com,Scope 1-3,Global,Not specified[1],Paid subscription,,
Richmond Global Sciences,Raw ESG data provider with unique scope 3 datasets,richmondglobalsciences.com,Scope 1-3,Global,Not specified[1],Paid subscription,,
